Kanda,Sarga,url
Yuddha Kanda,sarga20,https://valmikiramayan.net/utf8/yuddha/sarga20/yuddha_20_frame.htm
Yuddha Kanda,sarga21,https://valmikiramayan.net/utf8/yuddha/sarga21/yuddha_21_frame.htm
Yuddha Kanda,sarga22,https://valmikiramayan.net/utf8/yuddha/sarga22/yuddha_22_frame.htm
Yuddha Kanda,sarga23,https://valmikiramayan.net/utf8/yuddha/sarga23/yuddha_23_frame.htm
Yuddha Kanda,sarga24,https://valmikiramayan.net/utf8/yuddha/sarga24/yuddha_24_frame.htm
Yuddha Kanda,sarga25,https://valmikiramayan.net/utf8/yuddha/sarga25/yuddha_5F25_frame.htm
Yuddha Kanda,sarga26,https://valmikiramayan.net/utf8/yuddha/sarga26/yuddha_26_frame.htm
Yuddha Kanda,sarga27,https://valmikiramayan.net/utf8/yuddha/sarga27/yuddha_27_frame.htm
Yuddha Kanda,sarga28,https://valmikiramayan.net/utf8/yuddha/sarga28/yuddha_28_frame.htm
Yuddha Kanda,sarga29,https://valmikiramayan.net/utf8/yuddha/sarga29/yuddha_29_frame.htm
Yuddha Kanda,sarga30,https://valmikiramayan.net/utf8/yuddha/sarga30/yuddha_30_frame.htm
Yuddha Kanda,sarga31,https://valmikiramayan.net/utf8/yuddha/sarga31/yuddha_31_frame.htm
Yuddha Kanda,sarga32,https://valmikiramayan.net/utf8/yuddha/sarga32/yuddha_32_frame.htm
Yuddha Kanda,sarga33,https://valmikiramayan.net/utf8/yuddha/sarga33/yuddha_33_frame.htm
Yuddha Kanda,sarga34,https://valmikiramayan.net/utf8/yuddha/sarga34/yuddha_34_frame.htm
Yuddha Kanda,sarga35,https://valmikiramayan.net/utf8/yuddha/sarga35/yuddha_35_frame.htm
Yuddha Kanda,sarga36,https://valmikiramayan.net/utf8/yuddha/sarga36/yuddha_36_frame.htm
Yuddha Kanda,sarga37,https://valmikiramayan.net/utf8/yuddha/sarga37/yuddha_37_frame.htm
Yuddha Kanda,sarga38,https://valmikiramayan.net/utf8/yuddha/sarga38/yuddha_38_frame.htm
Yuddha Kanda,sarga39,https://valmikiramayan.net/utf8/yuddha/sarga39/yuddha_39_frame.htm
Yuddha Kanda,sarga40,https://valmikiramayan.net/utf8/yuddha/sarga40/yuddha_5F40_frame.htm
Yuddha Kanda,sarga41,https://valmikiramayan.net/utf8/yuddha/sarga41/yuddha_41_frame.htm
Yuddha Kanda,sarga42,https://valmikiramayan.net/utf8/yuddha/sarga42/yuddha_42_frame.htm
